Games,Year,Gender,Event,Participant,Country,Distance,Time_S,Mark
Athens 2004,2004,men,long-jump,Dwight PHILLIPS,USA,,,8.59
Athens 2004,2004,men,marathon,Stefano BALDINI,ITA,42195,7855,
Athens 2004,2004,men,pole-vault,Timothy MACK,USA,,,5.95
Athens 2004,2004,men,triple-jump,Christian OLSSON,SWE,,,17.79
Sydney 2000,2000,men,10000m,Haile GEBRSELASSIE,ETH,10000,1638.2,
Sydney 2000,2000,men,100m,Maurice GREENE,USA,100,9.87,
Sydney 2000,2000,men,1500m,Noah Kiprono NGENYI,KEN,1500,212.07,
Sydney 2000,2000,men,200m,Kostas KENTERIS,GRE,200,20.09,
Sydney 2000,2000,men,20km-walk,Robert KORZENIO,WSKI,20000,4739,
Sydney 2000,2000,men,400m,Michael JOHNSON,USA,400,43.84,
Sydney 2000,2000,men,4x100m-relay,,USA,400,37.61,
Sydney 2000,2000,men,4x400m-relay,,NGR,1600,178.68,
Sydney 2000,2000,men,5000m,Millon WOLDE,ETH,5000,815.49,
Sydney 2000,2000,men,800m,Nils SCHUMANN,GER,800,105.08,
Sydney 2000,2000,men,high-jump,Sergey KLYUGIN,RUS,,,2.35
Sydney 2000,2000,men,long-jump,Ivan PEDROSO,CUB,,,8.55
Sydney 2000,2000,men,marathon,Gezahegne ABERA,ETH,42195,7811,
Sydney 2000,2000,men,pole-vault,Nick HYSONG,USA,,,5.9
Sydney 2000,2000,men,triple-jump,Jonathan EDWARDS,GBR,,,17.71
Atlanta 1996,1996,men,10000m,Haile GEBRSELASSIE,ETH,10000,1627.34,
Atlanta 1996,1996,men,100m,Donovan BAILEY,CAN,100,9.84,
Atlanta 1996,1996,men,1500m,Noureddine MORCELI,ALG,1500,215.78,
Atlanta 1996,1996,men,200m,Michael JOHNSON,USA,200,19.32,
Atlanta 1996,1996,men,20km-walk,Jefferson PEREZ,ECU,20000,4807,
Atlanta 1996,1996,men,400m,Michael JOHNSON,USA,400,43.49,
Atlanta 1996,1996,men,4x100m-relay,,CAN,400,37.69,
Atlanta 1996,1996,men,4x400m-relay,,USA,1600,175.99,
Atlanta 1996,1996,men,5000m,Venuste NIYONGABO,BDI,5000,787.96,
Atlanta 1996,1996,men,800m,Vebjørn RODAL,NOR,800,102.58,
Atlanta 1996,1996,men,high-jump,Charles AUSTIN,USA,,,2.39
Atlanta 1996,1996,men,long-jump,Carl LEWIS,USA,,,8.5
Atlanta 1996,1996,men,marathon,Josia THUGWANE,RSA,42195,7956,
,1996,men,pole-vault,Jean GALFIONE,FRA,,,5.92
Atlanta 1996,1996,men,triple-jump,Kenny HARRISON,USA,,,18.09
Barcelona 1992,1992,men,10000m,Khalid SKAH,MAR,10000,1666.7,
Barcelona 1992,1992,men,100m,Linford CHRISTIE,GBR,100,9.96,
Barcelona 1992,1992,men,1500m,,ESP,1500,220.12,
Barcelona 1992,1992,men,200m,Michael MARSH,USA,200,20.01,
,1992,men,20km-walk,Daniel PLAZA,ESP,20000,4905,
Barcelona 1992,1992,men,400m,Quincy WATTS,USA,400,43.5,
Barcelona 1992,1992,men,4x100m-relay,,USA,400,37.4,
Barcelona 1992,1992,men,4x400m-relay,,USA,1600,175.74,
,1992,men,5000m,Dieter BAUMANN,GER,5000,792.52,
Barcelona 1992,1992,men,800m,William TANUI,KEN,800,103.66,
Barcelona 1992,1992,men,high-jump,Javier SOTOMAYOR,CUB,,,2.34
Barcelona 1992,1992,men,long-jump,Carl LEWIS,USA,,,8.67
Barcelona 1992,1992,men,marathon,Young-Cho HWANG,KOR,42195,8003,
,1992,men,pole-vault,Maksim TARASOV,RUS,,,5.8
,1992,men,triple-jump,Mike CONLEY,USA,,,18.17
Seoul 1988,1988,men,10000m,Moulay Brahim BOUTAYEB,MAR,10000,1641.46,
Seoul 1988,1988,men,100m,Carl LEWIS,USA,100,9.92,
